Policy Config,Policy Path,Policy Setting Name,Policy Type,Policy Group or Registry Key,Policy Setting,ncsc1903,"ncsc1903
Option",NCSC-GPO,"NCSC-GPO
Option","ncsc1903
GPO","NCSC-GPO
GPO"
,,,HKCU,SOFTWARE\Policies\Microsoft\OneDrive,DisablePersonalSync,,,1,1,,NCSC Windows - OneDrive
,,,HKLM,SOFTWARE\Policies\Microsoft\AppHVSI,FileTrustCriteria,0,0,0,0,NCSC Windows 10 1903 - Application Guard,NCSC Windows - Application Guard
,,,HKLM,SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin,FileTrustOriginMarkOfTheWeb,1,1,1,1,NCSC Windows 10 1903 - Application Guard,NCSC Windows - Application Guard
,,,HKLM,SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin,FileTrustOriginNetworkShare,1,1,1,1,NCSC Windows 10 1903 - Application Guard,NCSC Windows - Application Guard
,,,HKLM,SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin,FileTrustOriginRemovableMedia,1,1,1,1,NCSC Windows 10 1903 - Application Guard,NCSC Windows - Application Guard
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\ACRS\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\ACRS\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\ACRS\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\CA\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\CA\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\CA\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Disallowed\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Disallowed\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Disallowed\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\DPNGRA\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\DPNGRA\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\DPNGRA\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\FVE\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\FVE\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\FVE\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\FVE_NKP\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\FVE_NKP\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\FVE_NKP\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Root\Certificates,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Root\CRLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Root\CTLs,,,,,,NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
,,,HKLM,Software\Policies\Microsoft\SystemCertificates\Root\ProtectedRoots,Flags,65537,65537 (0x10001),65537,65537 (0x10001),NCSC Windows 10 1903 - Computer,NCSC Windows - Computer
